"x","y","layer"
-129.55,46.85,0.000860062020365149
-129.45,46.85,0.000883999455254525
-129.35,46.85,0.00102676858659834
-129.25,46.85,0.000995723530650139
-129.15,46.85,0.000970629916992038
-129.05,46.85,0.000946279265917838
-128.95,46.85,0.000860284140799195
-128.85,46.85,0.000767465797252953
-128.75,46.85,0.000641338352579623
-128.65,46.85,0.000595212623011321
-128.55,46.85,0.000553063815459609
-128.45,46.85,0.000523573427926749
-128.35,46.85,0.000489865429699421
-128.25,46.85,0.000403685553465039
-128.15,46.85,0.000383022386813536
-128.05,46.85,0.000410547887440771
-127.95,46.85,0.00040566417737864
-127.85,46.85,0.000414739537518471
-127.75,46.85,0.000426470913225785
-127.65,46.85,0.000421234755776823
-127.55,46.85,0.000513639824930578
-127.45,46.85,0.000593579490669072
-127.35,46.85,0.000784189905971289
-127.25,46.85,0.000847936142235994
-127.15,46.85,0.000869735784363002
-127.05,46.85,0.00087934173643589
-126.95,46.85,0.000871798605658114
-126.85,46.85,0.000842139183077961
-126.75,46.85,0.000785312324296683
-126.65,46.85,0.000759831920731813
-126.55,46.85,0.000714784255251288
-126.45,46.85,0.000691783148795366
-126.35,46.85,0.000722268829122186
-126.25,46.85,0.00101003458257765
-126.15,46.85,0.00289453775621951
-126.05,46.85,0.00526640191674232
-125.95,46.85,0.00671271281316876
-125.85,46.85,0.00841858983039856
-125.75,46.85,0.00790566671639681
-125.65,46.85,0.00500037195160985
-125.55,46.85,0.00481739779934287
-125.45,46.85,0.0102015668526292
-125.35,46.85,0.0117754265666008
-125.25,46.85,0.0108471419662237
-125.15,46.85,0.0146311307325959
-125.05,46.85,0.0155572006478906
-124.95,46.85,0.0152634866535664
-124.85,46.85,0.0211580134928226
